station_name,source_id,lon,lat
REIPÅ,SN80740,13.646,66.9035
E6 YTTERVIKA,SN79215,13.8728,66.2298
GLOMFJORD - TVERRFJELLET,SN80707,13.9067,66.8303
BARDAL,SN78350,13.3917,66.2178
GLOMFJORD,SN80700,13.9793,66.8102
SKAMDAL,SN79220,13.904,66.2348
E6 OSEN,SN78170,13.58217,66.053
FV17 TORSVIKA,SN80730,13.6675,66.8815
KILBOGHAMN,SN80320,13.2281,66.4896
FV810 BUSTNESLIA,SN80000,13.9015,66.27883
BJERKA - VALLA,SN78370,13.8067,66.1415
LURØY,SN80200,13.1848,66.3892
GLOMFJORD - SKIHYTTA,SN80705,13.948,66.8275
FV17 SJONFJELLET,SN80050,13.28817,66.28617
ENGABREEN - SKJÆRET,SN80615,13.9298,66.6432
SELJELIA,SN78360,13.5867,66.1317
